book,character
Category:Blood of Elves characters,Blood of Elves minor characters
Category:Blood of Elves characters,Abrad the Old Oak
Category:Blood of Elves characters,Aelirenn
Category:Blood of Elves characters,Agnes of Glanville
Category:Blood of Elves characters,Anna Tiller
Category:Blood of Elves characters,Anséis
Category:Blood of Elves characters,Artaud Terranova
Category:Blood of Elves characters,Axel Esparza
Category:Blood of Elves characters,Boatbug
Category:Blood of Elves characters,Boratek
Category:Blood of Elves characters,Bronibor
Category:Blood of Elves characters,Cahir Mawr Dyffryn aep Ceallach
Category:Blood of Elves characters,Calanthe
Category:Blood of Elves characters,Carduin
Category:Blood of Elves characters,Carla Demetia Crest
Category:Blood of Elves characters,Ciri
Category:Blood of Elves characters,Coën
Category:Blood of Elves characters,Crach an Craite
Category:Blood of Elves characters,Dandelion
Category:Blood of Elves characters,Demavend III
Category:Blood of Elves characters,Dezmod
Category:Blood of Elves characters,Donimir of Troy
Category:Blood of Elves characters,Duke de Ruyter
Category:Blood of Elves characters,Edmund Bumbler
Category:Blood of Elves characters,Eist Tuirseach
Category:Blood of Elves characters,Ekkehard of Sodden
Category:Blood of Elves characters,Emhyr var Emreis
Category:Blood of Elves characters,Ervyll
Category:Blood of Elves characters,Eskel
Category:Blood of Elves characters,Essi Daven
Category:Blood of Elves characters,Esterad Thyssen
Category:Blood of Elves characters,Ethain
Category:Blood of Elves characters,Eurneid
Category:Blood of Elves characters,Everett
Category:Blood of Elves characters,Fercart
Category:Blood of Elves characters,Flavius Michelet
Category:Blood of Elves characters,Foltest
Category:Blood of Elves characters,Francesca Findabair
Category:Blood of Elves characters,Geoffrey Monck
Category:Blood of Elves characters,Geralt of Rivia
Category:Blood of Elves characters,Gerhart of Aelle
Category:Blood of Elves characters,Giambattista
Category:Blood of Elves characters,Griffin of Temeria
Category:Blood of Elves characters,Gruzila
Category:Blood of Elves characters,Henselt
Category:Blood of Elves characters,Herbert Stammelford
Category:Blood of Elves characters,Hereward
Category:Blood of Elves characters,Hrosvitha
Category:Blood of Elves characters,Iola
Category:Blood of Elves characters,Iola the Second
Category:Blood of Elves characters,Ironware
Category:Blood of Elves characters,Ithlinne
Category:Blood of Elves characters,Ivo Richert
Category:Blood of Elves characters,Jan Bekker
Category:Blood of Elves characters,Jarre
Category:Blood of Elves characters,Katje
Category:Blood of Elves characters,Keira Metz
Category:Blood of Elves characters,Kistrin
Category:Blood of Elves characters,Lambert
Category:Blood of Elves characters,Linus Pitt
Category:Blood of Elves characters,Lodovico Michelet
Category:Blood of Elves characters,Lucas Corto
Category:Blood of Elves characters,Lydia van Bredevoort
Category:Blood of Elves characters,Lytta Neyd
Category:Blood of Elves characters,Mama Lantieri
Category:Blood of Elves characters,Maria Louisa La Valette
Category:Blood of Elves characters,Marquis La Creahme
Category:Blood of Elves characters,Medell
Category:Blood of Elves characters,Menno Coehoorn
Category:Blood of Elves characters,Meve
Category:Blood of Elves characters,Michelet brothers
Category:Blood of Elves characters,Milan Raupenneck
Category:Blood of Elves characters,Myhrman
Category:Blood of Elves characters,Myrrha
Category:Blood of Elves characters,Nenneke
Category:Blood of Elves characters,Nicodemus de Boot
Category:Blood of Elves characters,Niedamir
Category:Blood of Elves characters,Old Baron La Valette
Category:Blood of Elves characters,Olsen
Category:Blood of Elves characters,Ori Reuven
Category:Blood of Elves characters,Paulie Dahlberg
Category:Blood of Elves characters,Pavetta
Category:Blood of Elves characters,Pelligram
Category:Blood of Elves characters,Philippa Eilhart
Category:Blood of Elves characters,Podveyka
Category:Blood of Elves characters,Radcliffe
Category:Blood of Elves characters,Radovid I
Category:Blood of Elves characters,Radovid III
Category:Blood of Elves characters,Rayla
Category:Blood of Elves characters,Regan Dahlberg
Category:Blood of Elves characters,Reginald
Category:Blood of Elves characters,Rience
Category:Blood of Elves characters,Rizzi Michelet
Category:Blood of Elves characters,Roach
Category:Blood of Elves characters,Sambuk
Category:Blood of Elves characters,Schrader
Category:Blood of Elves characters,Shani
Category:Blood of Elves characters,Sheldon Skaggs
Category:Blood of Elves characters,Sigismund Dijkstra
Category:Blood of Elves characters,Stran
Category:Blood of Elves characters,Tissaia de Vries
Category:Blood of Elves characters,Toublanc Michelet
Category:Blood of Elves characters,Triss Merigold
Category:Blood of Elves characters,Unist
Category:Blood of Elves characters,Vanielle
Category:Blood of Elves characters,Venzlav
Category:Blood of Elves characters,Vera Loewenhaupt
Category:Blood of Elves characters,Vesemir
Category:Blood of Elves characters,Vilfrid Wenck
Category:Blood of Elves characters,Vilgefortz
Category:Blood of Elves characters,Villem
Category:Blood of Elves characters,Virfuril
Category:Blood of Elves characters,Vissegerd
Category:Blood of Elves characters,Vitek
Category:Blood of Elves characters,Vizimir II
Category:Blood of Elves characters,Windhalm of Attre
Category:Blood of Elves characters,Wolfgang Amadeus Goatbeard
Category:Blood of Elves characters,Xavier Moran
Category:Blood of Elves characters,Yannick Brass
Category:Blood of Elves characters,Yarpen Zigrin
Category:Blood of Elves characters,Yennefer of Vengerberg
Category:Blood of Elves characters,Yoël Grethen
Category:Blood of Elves characters,Zyvik
